2025-05-14 11:12:38 | INFO     | __main__:main:130 | Experiment Name -- dataset_hotpotqa-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_none-defend_conflict-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions
2025-05-14 11:12:40 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_test.pkl exists. Loading data...
2025-05-14 11:12:46 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_answers.pkl exists. Loading data...
2025-05-14 11:12:46 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on hotpotqa
2025-05-14 11:12:46 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-14 11:12:46 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/hotpotqa-contriever-cos.json.
2025-05-14 11:12:47 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-14 11:12:47 | INFO     | __main__:main:192 | load retrieval models
2025-05-14 11:12:48 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-14 11:12:48 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-14 11:12:48 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-14 11:13:47 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [58.8s elapsed, 0.0 it/s]
2025-05-14 11:14:45 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [117.4s elapsed, 0.0 it/s]
2025-05-14 11:15:43 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [175.2s elapsed, 0.0 it/s]
2025-05-14 11:16:41 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [232.9s elapsed, 0.0 it/s]
2025-05-14 11:17:38 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [289.9s elapsed, 0.0 it/s]
2025-05-14 11:18:36 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [348.2s elapsed, 0.0 it/s]
2025-05-14 11:19:34 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [406.2s elapsed, 0.0 it/s]
2025-05-14 11:20:32 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [464.4s elapsed, 0.0 it/s]
2025-05-14 11:21:30 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [522.4s elapsed, 0.0 it/s]
2025-05-14 11:22:29 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [580.8s elapsed, 0.0 it/s]
2025-05-14 11:22:29 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
