2025-05-16 10:10:04 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_kmeans_ngram-defend_none-dot-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions
2025-05-16 10:10:07 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-16 10:10:11 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-16 10:10:11 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-16 10:10:11 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-16 10:10:11 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever.json.
2025-05-16 10:10:12 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-16 10:10:12 | INFO     | __main__:main:192 | load retrieval models
2025-05-16 10:10:13 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-16 10:10:13 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-16 10:10:13 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-16 10:11:11 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [58.1s elapsed, 0.0 it/s]
2025-05-16 10:12:06 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [113.1s elapsed, 0.0 it/s]
2025-05-16 10:13:01 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [168.0s elapsed, 0.0 it/s]
2025-05-16 10:13:56 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [222.9s elapsed, 0.0 it/s]
2025-05-16 10:14:51 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [277.9s elapsed, 0.0 it/s]
2025-05-16 10:15:46 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [332.8s elapsed, 0.0 it/s]
2025-05-16 10:16:41 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [387.8s elapsed, 0.0 it/s]
2025-05-16 10:17:36 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [442.7s elapsed, 0.0 it/s]
2025-05-16 10:18:31 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [497.7s elapsed, 0.0 it/s]
2025-05-16 10:19:26 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [552.8s elapsed, 0.0 it/s]
2025-05-16 10:19:26 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-16 10:19:26 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.39 seconds
2025-05-16 10:19:26 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.09 seconds
2025-05-16 10:19:26 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.12 seconds
2025-05-16 10:19:27 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.16 seconds
2025-05-16 10:19:27 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.09 seconds
2025-05-16 10:19:27 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.13 seconds
2025-05-16 10:19:27 | INFO     | src.utils:update:256 | Processing target queries: 6/10 [1.0s elapsed, 5.8 it/s]
2025-05-16 10:19:27 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.09 seconds
2025-05-16 10:19:27 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.18 seconds
2025-05-16 10:19:27 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.15 seconds
2025-05-16 10:19:27 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.15 seconds
2025-05-16 10:19:27 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [1.6s elapsed, 6.1 it/s]
2025-05-16 10:19:27 | INFO     | src.utils:update:256 | Processing iterations: 1/10 [554.4s elapsed, 0.0 it/s]
2025-05-16 10:19:27 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-16 10:19:27 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-16 10:20:24 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [56.7s elapsed, 0.0 it/s]
2025-05-16 10:21:18 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [110.4s elapsed, 0.0 it/s]
2025-05-16 10:22:11 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [164.1s elapsed, 0.0 it/s]
2025-05-16 10:23:05 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [217.8s elapsed, 0.0 it/s]
2025-05-16 10:23:59 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [271.4s elapsed, 0.0 it/s]
2025-05-16 10:24:53 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [325.3s elapsed, 0.0 it/s]
2025-05-16 10:25:46 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [379.1s elapsed, 0.0 it/s]
2025-05-16 10:26:40 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [433.0s elapsed, 0.0 it/s]
2025-05-16 10:27:34 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [486.7s elapsed, 0.0 it/s]
