2025-05-18 02:55:22 | INFO     | __main__:main:130 | Experiment Name -- dataset_nq-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides
2025-05-18 02:55:25 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_test.pkl exists. Loading data...
2025-05-18 02:55:29 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/nq_answers.pkl exists. Loading data...
2025-05-18 02:55:29 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on nq
2025-05-18 02:55:29 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-18 02:55:29 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/nq-contriever-cos.json.
2025-05-18 02:55:29 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-18 02:55:29 | INFO     | __main__:main:192 | load retrieval models
2025-05-18 02:55:45 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-18 02:55:45 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 02:55:45 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-18 02:56:50 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [64.1s elapsed, 0.0 it/s]
2025-05-18 02:57:48 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [122.5s elapsed, 0.0 it/s]
2025-05-18 02:58:46 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [180.8s elapsed, 0.0 it/s]
2025-05-18 02:59:45 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [239.3s elapsed, 0.0 it/s]
2025-05-18 03:00:43 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [297.7s elapsed, 0.0 it/s]
2025-05-18 03:01:41 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [355.9s elapsed, 0.0 it/s]
2025-05-18 03:02:40 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [414.1s elapsed, 0.0 it/s]
2025-05-18 03:03:38 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [472.4s elapsed, 0.0 it/s]
2025-05-18 03:04:36 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [530.6s elapsed, 0.0 it/s]
2025-05-18 03:05:35 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [589.3s elapsed, 0.0 it/s]
2025-05-18 03:05:35 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-18 03:05:35 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.19 seconds
2025-05-18 03:05:35 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.11 seconds
2025-05-18 03:05:35 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.15 seconds
2025-05-18 03:05:35 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.14 seconds
2025-05-18 03:05:36 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.14 seconds
2025-05-18 03:05:36 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.22 seconds
2025-05-18 03:05:36 | INFO     | src.utils:update:256 | Processing target queries: 6/10 [1.0s elapsed, 5.9 it/s]
2025-05-18 03:05:36 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.14 seconds
2025-05-18 03:05:36 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.17 seconds
