2025-05-14 08:36:40 | INFO     | __main__:main:130 | Experiment Name -- dataset_msmarco-retriver_contriever-model_true_meta-llama/Llama-3.1-8B-Instruct-M10xRepeat10-attack_hotflip-removal_none-defend_conflict-dot-adv_per_query3-adv_a_position_start-Top_5-Seed_12_no_questions
2025-05-14 08:36:42 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/msmarco_train.pkl exists. Loading data...
2025-05-14 08:36:50 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/msmarco_answers.pkl exists. Loading data...
2025-05-14 08:36:50 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on msmarco
2025-05-14 08:36:50 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-14 08:36:50 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/msmarco-contriever.json.
2025-05-14 08:36:50 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-14 08:36:50 | INFO     | __main__:main:192 | load retrieval models
2025-05-14 08:36:51 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-14 08:36:51 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-14 08:36:51 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-14 08:37:54 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [63.4s elapsed, 0.0 it/s]
2025-05-14 08:38:54 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [123.2s elapsed, 0.0 it/s]
2025-05-14 08:39:48 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [177.5s elapsed, 0.0 it/s]
2025-05-14 08:40:42 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [231.2s elapsed, 0.0 it/s]
2025-05-14 08:41:39 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [288.0s elapsed, 0.0 it/s]
2025-05-14 08:42:32 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [341.3s elapsed, 0.0 it/s]
2025-05-14 08:43:25 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [394.2s elapsed, 0.0 it/s]
2025-05-14 08:44:16 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [445.2s elapsed, 0.0 it/s]
2025-05-14 08:45:12 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [500.7s elapsed, 0.0 it/s]
2025-05-14 08:46:04 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [553.0s elapsed, 0.0 it/s]
2025-05-14 08:46:04 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-14 08:46:04 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [0.1s elapsed, 176.0 it/s]
2025-05-14 08:46:04 | INFO     | src.utils:update:256 | Processing iterations: 1/10 [553.0s elapsed, 0.0 it/s]
2025-05-14 08:46:04 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
