2025-05-18 06:27:03 | INFO     | __main__:main:130 | Experiment Name -- dataset_hotpotqa-retriver_contriever-model_true_mistralai/Mistral-Nemo-Instruct-2407-M10xRepeat10-attack_hotflip-removal_drift-defend_none-cos_sim-adv_per_query3-adv_a_position_end-Top_5-Seed_12_no_questions_both_sides
2025-05-18 06:27:06 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_test.pkl exists. Loading data...
2025-05-18 06:27:11 | INFO     | src.utils:load_cached_data:42 | Cache file data_cache/hotpotqa_answers.pkl exists. Loading data...
2025-05-18 06:27:11 | INFO     | __main__:main:168 | Please evaluate on BEIR first -- contriever on hotpotqa
2025-05-18 06:27:11 | INFO     | __main__:main:172 | Now try to get beir eval results from results/beir_results/...
2025-05-18 06:27:11 | INFO     | __main__:main:184 | Automatically get beir_resutls from results/beir_results/hotpotqa-contriever-cos.json.
2025-05-18 06:27:11 | INFO     | __main__:main:190 | Attack method: hotflip
2025-05-18 06:27:11 | INFO     | __main__:main:192 | load retrieval models
2025-05-18 06:27:12 | INFO     | src.utils:__init__:247 | Starting Processing iterations: 0/10
2025-05-18 06:27:12 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 06:27:12 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-18 06:28:09 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [56.7s elapsed, 0.0 it/s]
2025-05-18 06:29:06 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [113.2s elapsed, 0.0 it/s]
2025-05-18 06:30:01 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [169.0s elapsed, 0.0 it/s]
2025-05-18 06:30:57 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [224.8s elapsed, 0.0 it/s]
2025-05-18 06:31:53 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [280.5s elapsed, 0.0 it/s]
2025-05-18 06:32:49 | INFO     | src.utils:update:256 | Processing HotFlip queries: 6/10 [336.6s elapsed, 0.0 it/s]
2025-05-18 06:33:45 | INFO     | src.utils:update:256 | Processing HotFlip queries: 7/10 [392.5s elapsed, 0.0 it/s]
2025-05-18 06:34:41 | INFO     | src.utils:update:256 | Processing HotFlip queries: 8/10 [448.6s elapsed, 0.0 it/s]
2025-05-18 06:35:37 | INFO     | src.utils:update:256 | Processing HotFlip queries: 9/10 [504.7s elapsed, 0.0 it/s]
2025-05-18 06:36:34 | INFO     | src.utils:update:256 | Processing HotFlip queries: 10/10 [561.1s elapsed, 0.0 it/s]
2025-05-18 06:36:34 | INFO     | src.utils:__init__:247 | Starting Processing target queries: 0/10
2025-05-18 06:36:34 | INFO     | __main__:timed:49 | [Iter_0_question_0_removal] took 0.18 seconds
2025-05-18 06:36:34 | INFO     | __main__:timed:49 | [Iter_0_question_1_removal] took 0.13 seconds
2025-05-18 06:36:34 | INFO     | __main__:timed:49 | [Iter_0_question_2_removal] took 0.21 seconds
2025-05-18 06:36:34 | INFO     | __main__:timed:49 | [Iter_0_question_3_removal] took 0.21 seconds
2025-05-18 06:36:34 | INFO     | __main__:timed:49 | [Iter_0_question_4_removal] took 0.14 seconds
2025-05-18 06:36:35 | INFO     | __main__:timed:49 | [Iter_0_question_5_removal] took 0.11 seconds
2025-05-18 06:36:35 | INFO     | src.utils:update:256 | Processing target queries: 6/10 [1.0s elapsed, 5.7 it/s]
2025-05-18 06:36:35 | INFO     | __main__:timed:49 | [Iter_0_question_6_removal] took 0.18 seconds
2025-05-18 06:36:35 | INFO     | __main__:timed:49 | [Iter_0_question_7_removal] took 0.21 seconds
2025-05-18 06:36:35 | INFO     | __main__:timed:49 | [Iter_0_question_8_removal] took 0.22 seconds
2025-05-18 06:36:36 | INFO     | __main__:timed:49 | [Iter_0_question_9_removal] took 0.29 seconds
2025-05-18 06:36:36 | INFO     | src.utils:update:256 | Processing target queries: 10/10 [2.0s elapsed, 5.0 it/s]
2025-05-18 06:36:36 | INFO     | src.utils:update:256 | Processing iterations: 1/10 [563.1s elapsed, 0.0 it/s]
2025-05-18 06:36:36 | INFO     | src.attack:__init__:75 | Initializing attacker with method: hotflip
2025-05-18 06:36:36 | INFO     | src.utils:__init__:247 | Starting Processing HotFlip queries: 0/10
2025-05-18 06:37:37 | INFO     | src.utils:update:256 | Processing HotFlip queries: 1/10 [61.4s elapsed, 0.0 it/s]
2025-05-18 06:38:35 | INFO     | src.utils:update:256 | Processing HotFlip queries: 2/10 [119.4s elapsed, 0.0 it/s]
2025-05-18 06:39:33 | INFO     | src.utils:update:256 | Processing HotFlip queries: 3/10 [177.1s elapsed, 0.0 it/s]
2025-05-18 06:40:31 | INFO     | src.utils:update:256 | Processing HotFlip queries: 4/10 [235.0s elapsed, 0.0 it/s]
2025-05-18 06:41:28 | INFO     | src.utils:update:256 | Processing HotFlip queries: 5/10 [292.8s elapsed, 0.0 it/s]
